,deputado_id,valorLiquido
0,69871,3335.1846666666665
1,73433,1497.3392857142858
2,73441,464.35333333333335
3,73579,12120.6
4,73701,3398.388
5,74057,266.3809090909091
6,74090,6612.099
7,74171,1808.924
8,74262,3189.4485714285715
9,74537,731.3924999999999
10,74646,3059.574666666667
11,74696,4045.5979999999995
12,88256,286.81800000000004
13,98148,290.82666666666665
14,107970,2511.6569230769232
15,109429,6084.332222222223
16,121948,615.2223076923077
17,123086,2417.11
18,123756,14178.9
19,133439,820.31
20,136811,612.3214285714286
21,141391,497.963
22,141398,125.88538461538461
23,141408,8985.76
24,160512,823.2
25,160527,336.5506666666667
26,160538,3695.673076923077
27,160541,443.3333333333333
28,160545,249.71714285714285
29,160553,2651.7059999999997
30,160559,1639.4386666666667
31,160600,1883.663076923077
32,160665,1265.0933333333332
33,164360,373.93
34,178829,386.8326666666666
35,178835,1502.2160000000001
36,178876,264.415
37,178881,774.259
38,178927,1722.9333333333334
39,178937,11361.65
40,178972,3675.1870000000004
41,178975,253.19333333333333
42,178993,3620.397857142857
43,204356,1181.390909090909
44,204358,1296.6913333333332
45,204361,246.15636363636366
46,204369,265.354
47,204374,206.51875
48,204378,614.1653846153846
49,204379,522.8015384615385
50,204388,633.4846666666667
51,204423,802.184
52,204426,569.978
53,204460,2054.3866666666668
54,204462,478.38
55,204476,-42.29
56,204488,3259.2193333333335
57,204495,210.88333333333333
58,204501,2560.6091666666666
59,204504,414.2921428571429
60,204507,681.2553333333333
61,204515,1895.817142857143
62,204528,733.7389999999999
63,204549,389.136
64,204560,488.92600000000004
65,204571,307.6776923076923
66,204572,211.6042857142857
67,205476,1797.0853333333332
68,206018,506.79785714285714
69,210989,325.4757142857143
70,220538,368.34785714285715
71,220542,823.3664285714285
72,220544,2985.5406666666668
73,220548,1843.4635714285716
74,220549,192.39923076923077
75,220554,1469.08
76,220556,915.85
77,220574,1248.506
78,220576,903.1993333333334
79,220577,272.6666666666667
80,220593,670.7913333333332
81,220594,312.6985714285714
82,220605,906.7860000000001
83,220612,4335.522
84,220632,312.29266666666666
85,220635,283.56357142857144
86,220638,987.2738461538461
87,220665,1868.2992857142858
88,220675,421.83733333333333
89,220676,446.3692857142857
90,220683,269.7675
91,220690,3122.742
92,220699,1313.2366666666667
93,220704,1433.7026666666668
94,220707,1101.7693333333334
95,220714,183.12785714285715
96,220715,1074.706
97,221148,699.7864285714286
98,221328,2281.302
99,226708,875.5442857142858
