,deputado_id,tipoDespesa
72,220544,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
73,220548,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
74,220549,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
75,220554,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
76,220556,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
77,220574,COMBUSTÍVEIS E LUBRIFICANTES.
78,220576,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
79,220577,COMBUSTÍVEIS E LUBRIFICANTES.
80,220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
81,220594,COMBUSTÍVEIS E LUBRIFICANTES.
82,220605,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
83,220612,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
84,220632,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
85,220635,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
86,220638,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
87,220665,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
88,220675,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
89,220676,COMBUSTÍVEIS E LUBRIFICANTES.
90,220683,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
91,220690,COMBUSTÍVEIS E LUBRIFICANTES.
92,220699,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
93,220704,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
94,220707,COMBUSTÍVEIS E LUBRIFICANTES.
95,220714,COMBUSTÍVEIS E LUBRIFICANTES.
96,220715,PASSAGEM AÉREA - SIGEPA
97,221148,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
98,221328,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
99,226708,COMBUSTÍVEIS E LUBRIFICANTES.
